"STATION","DATE","EMNT","EMXT"
"CHM00057127","2020-01","29","55"
"CHM00057127","2020-02","28","72"
"CHM00057127","2020-03","39","79"
"CHM00057127","2020-04","47","91"
"CHM00057127","2020-05","54","96"
"CHM00057127","2020-06","62","98"
"CHM00057127","2020-07","67","96"
"CHM00057127","2020-08","65","95"
"CHM00057127","2020-09","60","89"
"CHM00057127","2020-10","48","76"
"CHM00057127","2020-11","35","73"
"CHM00057127","2020-12","24","51"
"CHM00057127","2021-01","22","57"
"CHM00057127","2021-02",,"73"
"CHM00057127","2021-03","38","81"
"CHM00057127","2021-04","48","92"
"CHM00057127","2021-05","59","93"
"CHM00057127","2021-06","61","95"
"CHM00057127","2021-07","69","98"
"CHM00057127","2021-08","63","99"
"CHM00057127","2021-09","59","90"
"CHM00057127","2021-10","49","86"
"CHM00057127","2021-11","32","67"
"CHM00057127","2021-12","28","60"
"CHM00057127","2022-01","30","57"
"CHM00057127","2022-02","29","64"
"CHM00057127","2022-03","38","81"
"CHM00057127","2022-04","46","88"
"CHM00057127","2022-05","49","91"
"CHM00057127","2022-06","62","98"
"CHM00057127","2022-07","65","102"
"CHM00057127","2022-08","61","105"
"CHM00057127","2022-09","58","88"
"CHM00057127","2022-10","44","76"
"CHM00057127","2022-11","33","70"
"CHM00057127","2022-12","24","56"
"CHM00057127","2023-01","25","58"
"CHM00057127","2023-02","30","64"
"CHM00057127","2023-03","39","81"
"CHM00057127","2023-04","44","87"
"CHM00057127","2023-05","54","93"
"CHM00057127","2023-07","63","99"
"CHM00057127","2023-08","66","99"
"CHM00057127","2023-10","48","75"
"CHM00057127","2023-11","36","73"
"CHM00057127","2023-12","27","60"
"CHM00057127","2024-01","27","59"
"CHM00057127","2024-02","27","66"
"CHM00057127","2024-04","51","87"
"CHM00057127","2024-05","55","95"
"CHM00057127","2024-06","62","98"
"CHM00057127","2024-07","67","98"
"CHM00057127","2024-08","71","102"
"CHM00057127","2024-09","56","100"
"CHM00057127","2024-10","48","80"
"CHM00057127","2024-12","25","59"
"CHM00057127","2025-01","26","60"
"CHM00057127","2025-02","30","61"
"CHM00057127","2025-03","33","88"
"CHM00057127","2025-04","44","93"
"CHM00057127","2025-05","55","99"
"CHM00057127","2025-06","65","100"
"CHM00057127","2025-07","70","106"
"CHM00057131","2020-01","21","52"
"CHM00057131","2020-02","24","71"
"CHM00057131","2020-03","34","80"
"CHM00057131","2020-04","43","94"
"CHM00057131","2020-05","50","100"
"CHM00057131","2020-06","61","102"
"CHM00057131","2020-07","66","100"
"CHM00057131","2020-08","64","96"
"CHM00057131","2020-09","56","94"
"CHM00057131","2020-10","45","77"
"CHM00057131","2020-11","31","71"
"CHM00057131","2020-12","15","50"
"CHM00057131","2021-01","14","64"
"CHM00057131","2021-02","30","80"
"CHM00057131","2021-03","33","78"
"CHM00057131","2021-04","44","92"
"CHM00057131","2021-05","50","99"
"CHM00057131","2021-06","60","101"
"CHM00057131","2021-07","64","102"
"CHM00057131","2021-08","61","102"
"CHM00057131","2021-09","60","93"
"CHM00057131","2021-10","42","83"
"CHM00057131","2021-11","27","68"
"CHM00057131","2021-12","22","59"
"CHM00057131","2022-01","25","55"
"CHM00057131","2022-02","23","63"
"CHM00057131","2022-03","35","77"
"CHM00057131","2022-04","45","91"
"CHM00057131","2022-05","51","92"
"CHM00057131","2022-06","63","105"
"CHM00057131","2022-07","63","103"
"CHM00057131","2022-08","57","103"
"CHM00057131","2022-09","54","91"
"CHM00057131","2022-10","37","78"
"CHM00057131","2022-11","24","71"
"CHM00057131","2022-12","21","58"
"CHM00057131","2023-01","19","59"
"CHM00057131","2023-02","28","64"
"CHM00057131","2023-03","34","82"
"CHM00057131","2023-04","41","85"
"CHM00057131","2023-05","51","92"
"CHM00057131","2023-07","64","102"
"CHM00057131","2023-08","65","101"
"CHM00057131","2023-10","45","80"
"CHM00057131","2023-11","26","80"
"CHM00057131","2023-12","16","70"
"CHM00057131","2024-01","17","59"
"CHM00057131","2024-02","26","63"
"CHM00057131","2024-04","49","87"
"CHM00057131","2024-05","52","98"
"CHM00057131","2024-06","59","105"
"CHM00057131","2024-07","67","98"
"CHM00057131","2024-08","69","99"
"CHM00057131","2024-09","55","102"
"CHM00057131","2024-10","41","82"
"CHM00057131","2024-12","21","61"
"CHM00057131","2025-01","23","54"
"CHM00057131","2025-02","23","63"
"CHM00057131","2025-03","34","85"
"CHM00057131","2025-04","48","95"
"CHM00057131","2025-05","53","99"
"CHM00057131","2025-06","65","102"
"CHM00057131","2025-07","72","108"
"CHM00057131","2025-08","66","102"
"CHM00057131","2025-10","45","74"
"CHM00057131","2025-11","31","67"
"CHM00057131","2025-12","27","58"
"CHM00057131","2026-01","25","59"
